date,cota_Mom,cota_beta,cota_valor
17/03/2009,0.386978616,0.649233366,0.611909492
18/03/2009,0.391777128,0.654252775,0.623999287
19/03/2009,0.396931568,0.653713849,0.622806509
20/03/2009,0.394348563,0.656767206,0.612863121
23/03/2009,0.403627683,0.669778455,0.634469131
24/03/2009,0.401975336,0.665454224,0.629429208
25/03/2009,0.396586912,0.665328256,0.631793228
26/03/2009,0.401884962,0.671774457,0.645590243
27/03/2009,0.402172618,0.66860827,0.642463679
30/03/2009,0.405908011,0.665882366,0.629290743
31/03/2009,0.403635773,0.666914506,0.622724464
01/04/2009,0.411508986,0.67207488,0.633700444
02/04/2009,0.437288384,0.667429129,0.662593388
03/04/2009,0.446465821,0.672279107,0.694371789
06/04/2009,0.45622571,0.670920719,0.693622069
07/04/2009,0.457757655,0.661958881,0.709445686
08/04/2009,0.465747126,0.670672859,0.718455475
09/04/2009,0.469895183,0.681820543,0.745256468
10/04/2009,0.469698363,0.681534956,0.74494431
13/04/2009,0.475620532,0.676895658,0.756809873
14/04/2009,0.470019767,0.674626752,0.742472725
15/04/2009,0.470559156,0.680780859,0.752306791
16/04/2009,0.482619286,0.690045522,0.761604245
17/04/2009,0.485220048,0.687174412,0.753669073
20/04/2009,0.466807482,0.677080271,0.732117047
21/04/2009,0.466599005,0.676798363,0.731812224
22/04/2009,0.482216991,0.683827606,0.748428535
23/04/2009,0.496587142,0.690610988,0.763849231
24/04/2009,0.522227673,0.697519748,0.791868057
27/04/2009,0.516225831,0.694283562,0.796717508
28/04/2009,0.529762227,0.698842664,0.795158258
29/04/2009,0.55365565,0.715799552,0.817874689
30/04/2009,0.554571,0.710266903,0.827831396
01/05/2009,0.554341488,0.709972955,0.827488794
04/05/2009,0.575630246,0.719217771,0.859875242
05/05/2009,0.569996442,0.721189741,0.879436718
06/05/2009,0.572524412,0.728364553,0.920891898
07/05/2009,0.559163913,0.722711591,0.930370915
08/05/2009,0.575277695,0.734278647,0.958981655
11/05/2009,0.587502419,0.73277598,0.937500789
12/05/2009,0.574593961,0.725100715,0.916245049
13/05/2009,0.556506387,0.71549373,0.885221523
14/05/2009,0.559268029,0.718909064,0.889585084
15/05/2009,0.565168556,0.726927782,0.867618514
18/05/2009,0.579847136,0.741789124,0.895370226
19/05/2009,0.578138311,0.73755482,0.882698802
20/05/2009,0.563076744,0.735595679,0.874040326
21/05/2009,0.548000024,0.726506098,0.860714896
22/05/2009,0.555749356,0.724355518,0.875307507
25/05/2009,0.563076304,0.727378615,0.903367137
26/05/2009,0.574214851,0.731229087,0.920391045
27/05/2009,0.570391865,0.729572068,0.917024549
28/05/2009,0.577173872,0.735080752,0.931892303
29/05/2009,0.576097843,0.731292817,0.926556919
01/06/2009,0.595270972,0.739025287,0.942017563
02/06/2009,0.595482552,0.735376356,0.949712891
03/06/2009,0.57737657,0.723288334,0.928100169
04/06/2009,0.589441479,0.729759944,0.953400847
05/06/2009,0.585054873,0.730041783,0.938736652
08/06/2009,0.580104803,0.736159121,0.939073085
09/06/2009,0.579571121,0.726775796,0.933861529
10/06/2009,0.57719297,0.723618587,0.931316089
11/06/2009,0.576976709,0.723347465,0.930967148
12/06/2009,0.582069186,0.728227835,0.933167173
15/06/2009,0.572955887,0.721141503,0.903018334
16/06/2009,0.558847081,0.715221621,0.902482763
17/06/2009,0.555866071,0.716544782,0.882500795
